uid,programme,plu_or_module_code,plu_or_module_title,element_title,outcome_code,outcome_text,sort_order
84e8f2385b62,JC_L1LP,JC-L1-PLU1,"Communication, language and literacy",Developing communicative relationships,1.1,Indicate awareness of sensory stimuli in the learning environment,1
f318c9431d26,JC_L1LP,JC-L1-PLU1,"Communication, language and literacy",Developing communicative relationships,1.2,Establish consistent patterns of attending to stimuli/personnel/activities in the immediate environment,2
a19f2a86fae7,JC_L1LP,JC-L1-PLU1,"Communication, language and literacy",Developing communicative relationships,1.3,Engage in an activity requiring joint attention with one or more people,3
2f3191c9cefd,JC_L1LP,JC-L1-PLU1,"Communication, language and literacy",Developing communicative relationships,1.4,Demonstrate turn-taking with a communicative partner,4
28f7ab040053,JC_L1LP,JC-L1-PLU1,"Communication, language and literacy",Developing communicative relationships,1.5,"Show awareness of and/or use tone, body language, gestures, pace, vocalisations and volume to impact communication",5
687fa584b221,JC_L1LP,JC-L1-PLU1,"Communication, language and literacy",Developing communicative relationships,1.6,Initiate communication with a familiar adult and peers,6
729d9511b5f4,JC_L1LP,JC-L1-PLU1,"Communication, language and literacy",Developing communicative relationships,1.7,Engage in and enjoy a meaningful exchange with a communicative partner,7
e0d250efe185,JC_L1LP,JC-L1-PLU1,"Communication, language and literacy",Exploring and using,1.14,Clearly indicate preferred objects and/or activities and refuse non-preferred items,1
0d4408f25e08,JC_L1LP,JC-L1-PLU1,"Communication, language and literacy",Exploring and using,1.15,Request repetition and/or more of and/or change of objects or events,2
4ebd46df1f41,JC_L1LP,JC-L1-PLU1,"Communication, language and literacy",Exploring and using,1.16,"Make a request and/or express a need, verbally or non-verbally",3
dea16b1444a3,JC_L1LP,JC-L1-PLU1,"Communication, language and literacy",Exploring and using,1.17,"Participate in the sharing of a familiar or personal story, activity or event",4
13d414833ac9,JC_L1LP,JC-L1-PLU1,"Communication, language and literacy",Exploring and using,1.18,Communicate to express feelings verbally or non-verbally,5
2d3a67520085,JC_L1LP,JC-L1-PLU1,"Communication, language and literacy",Exploring and using,1.19,Express interests and opinions through a range of verbal or non-verbal communication methods,6
49ae6ddb51f6,JC_L1LP,JC-L1-PLU1,"Communication, language and literacy",Reading,1.20,"Illustrate signs of engagement and enjoyment with stories, texts, poetry, funny or favourite reading material",1
5dd008d67701,JC_L1LP,JC-L1-PLU1,"Communication, language and literacy",Reading,1.21,"Choose and handle books, demonstrating familiarity with book-handling skills",2
b543458e0002,JC_L1LP,JC-L1-PLU1,"Communication, language and literacy",Reading,1.22,"Show recognition and understanding of symbols, signs, logos, familiar words, letters or visual representations of items",3
fe5bbc337196,JC_L1LP,JC-L1-PLU1,"Communication, language and literacy",Reading,1.23,"Seek meaning from combinations of signs, symbols or text for enjoyment or practical purposes",4
f44ef2e5a94e,JC_L1LP,JC-L1-PLU1,"Communication, language and literacy",Reading,1.24,"Read a book, magazine or other text with understanding",5
b5a5adf558b4,JC_L1LP,JC-L1-PLU1,"Communication, language and literacy",Reading,1.25,"Recall a story read or personal experience using objects, marks, gestures or vocalisations",6
8800e2572fb4,JC_L1LP,JC-L1-PLU1,"Communication, language and literacy",Understanding,1.8,Show recognition of personal and/or standardised objects of reference,1
7df573065070,JC_L1LP,JC-L1-PLU1,"Communication, language and literacy",Understanding,1.9,Respond to verbal and non-verbal cues related to familiar communicative routines,2
c0c55d37861f,JC_L1LP,JC-L1-PLU1,"Communication, language and literacy",Understanding,1.10,Attend and respond to increased vocabulary in text,3
0e6e4306a9a2,JC_L1LP,JC-L1-PLU1,"Communication, language and literacy",Understanding,1.11,Consistently respond to familiar factual questions,4
5755b5e17b88,JC_L1LP,JC-L1-PLU1,"Communication, language and literacy",Understanding,1.12,Show signs of anticipating next steps in a familiar activity when presented with a stimulus,5
96ae4b681108,JC_L1LP,JC-L1-PLU1,"Communication, language and literacy",Understanding,1.13,Predict outcomes for a familiar or unfamiliar story or event choosing from a range of possible outcomes,6
c9c0ff8af5f9,JC_L1LP,JC-L1-PLU1,"Communication, language and literacy",Written expression,1.26,"Show enjoyment while making marks and or texts, and use gestures, sounds or words to focus attention on these, showing signs of understanding that texts carry meaning",1
7af5fd1bc9ba,JC_L1LP,JC-L1-PLU1,"Communication, language and literacy",Written expression,1.27,"Engage in/with mechanics of mark-making exercises to create a form of text according to ability, using motor or eye-gaze skills as appropriate",2
269b0fa0a09f,JC_L1LP,JC-L1-PLU1,"Communication, language and literacy",Written expression,1.28,Explore a variety of implements and surfaces for creating texts,3
3b420cc8a17c,JC_L1LP,JC-L1-PLU1,"Communication, language and literacy",Written expression,1.29,"Place marks, signs, symbols or texts in the correct sequence and/or with the correct orientation to infer meaning",4
cfd05059fe5e,JC_L1LP,JC-L1-PLU1,"Communication, language and literacy",Written expression,1.30,"Use signs, symbols or text to share experiences, thoughts, opinions, preferences with peers with growing confidence",5
86471a0d3f4d,JC_L1LP,JC-L1-PLU2,Numeracy,Awareness of environment,2.1,Discover and explore a range of objects/stimuli,1
e0dc69d51462,JC_L1LP,JC-L1-PLU2,Numeracy,Awareness of environment,2.2,Investigate objects/stimuli in motion,2
2a681746fe3e,JC_L1LP,JC-L1-PLU2,Numeracy,Awareness of environment,2.3,Recognise and/or show preferences for objects/stimuli,3
9ee75e27b1bd,JC_L1LP,JC-L1-PLU2,Numeracy,Awareness of environment,2.4,Recognise and/or show preferences for objects/stimuli,4
d6731a1fcb7d,JC_L1LP,JC-L1-PLU2,Numeracy,Awareness of environment,2.5,Recognise objects/stimuli that are the same and/or different in one or more ways,5
11a43765b702,JC_L1LP,JC-L1-PLU2,Numeracy,Awareness of environment,2.6,Participate in cause and effect activities,6
a67b05f4e0ef,JC_L1LP,JC-L1-PLU2,Numeracy,Awareness of environment,2.7,Explore the concept of object permanence,7
6eb00922ea40,JC_L1LP,JC-L1-PLU2,Numeracy,Developing number sense,2.13,Participate in counting activities,1
07686cfe8ced,JC_L1LP,JC-L1-PLU2,Numeracy,Developing number sense,2.14,Explore and use familiar numerals,2
98ca02cad114,JC_L1LP,JC-L1-PLU2,Numeracy,Developing number sense,2.15,Explore the relationship between sets and numbers,3
92d8d58c8413,JC_L1LP,JC-L1-PLU2,Numeracy,Developing number sense,2.16,Experiment with differences in quantity and the language associated with it,4
0fe001f6b3b5,JC_L1LP,JC-L1-PLU2,Numeracy,Developing number sense,2.17,Explore the concepts of addition and subtraction,5
5c65e8a87a08,JC_L1LP,JC-L1-PLU2,Numeracy,Measure and data,2.22,Investigate objects and language in relation to measurement,1
b36c9f97959a,JC_L1LP,JC-L1-PLU2,Numeracy,Measure and data,2.23,Participate in everyday activities associated with measurement in the student's environment,2
488ca0613362,JC_L1LP,JC-L1-PLU2,Numeracy,Measure and data,2.24,Participate in a shopping experience or in an activity where real money is used functionally,3
7629ddaa07fc,JC_L1LP,JC-L1-PLU2,Numeracy,Measure and data,2.25,Participate in recording and displaying number and/or familiar data,4
d485dc07af81,JC_L1LP,JC-L1-PLU2,Numeracy,Pattern and sequence,2.8,Explore pattern through a variety of sensory experiences,1
7196c6dcd44f,JC_L1LP,JC-L1-PLU2,Numeracy,Pattern and sequence,2.9,Observe patterns in the student’s environment,2
7483ba35bee5,JC_L1LP,JC-L1-PLU2,Numeracy,Pattern and sequence,2.10,"Engage with language, objects, symbols, signs and stimuli associated with ordering and sequencing which forms part of the student’s daily routine",3
f5db7367a926,JC_L1LP,JC-L1-PLU2,Numeracy,Pattern and sequence,2.11,Participate in activities where the aim is to repeat patterns,4
a201e95d26b2,JC_L1LP,JC-L1-PLU2,Numeracy,Pattern and sequence,2.12,Recognise and/or anticipate familiar activities or routines with predictable patterns and sequences,5
dbb9a24c56a5,JC_L1LP,JC-L1-PLU2,Numeracy,Shape and space,2.18,Experiment with the movement of body parts in the immediate environment,1
f2532581ba5b,JC_L1LP,JC-L1-PLU2,Numeracy,Shape and space,2.19,Participate in activities where the language of movement and position is used,2
9cbff1619bdd,JC_L1LP,JC-L1-PLU2,Numeracy,Shape and space,2.20,Explore the features and properties of 2D and 3D regular and irregular shapes through a variety of sensory experiences,3
8fdb3a519a3f,JC_L1LP,JC-L1-PLU2,Numeracy,Shape and space,2.21,Recognise and/or identify shapes in the immediate and local environment,4
c1ae2019d740,JC_L1LP,JC-L1-PLU2,Numeracy,Time,2.26,"Engage with language, objects, symbols, signs, stimuli or activities associated with times of the day and/or days of the week",1
abfd1e9569b6,JC_L1LP,JC-L1-PLU2,Numeracy,Time,2.27,"Explore language, objects and stimuli associated with significant personal and cultural events in the student’s life",2
d904389f1881,JC_L1LP,JC-L1-PLU2,Numeracy,Time,2.28,"Participate in activities/actions that are used to transition from one event to the next or to show the passage of time, waiting or turn-taking",3
328c1aec2cbd,JC_L1LP,JC-L1-PLU2,Numeracy,Time,2.29,"Use instruments such as timers, visual timetables, objects of reference or clocks functionally",4
0394375a7646,JC_L1LP,JC-L1-PLU3,Personal care and wellbeing,Emotional wellbeing,3.20,Express some feelings consistently (with or without intent) so that a familiar adult can respond appropriately,1
17a9b7d996df,JC_L1LP,JC-L1-PLU3,Personal care and wellbeing,Emotional wellbeing,3.21,Show interest in the feelings expressed by others and react appropriately,2
2097672d76b1,JC_L1LP,JC-L1-PLU3,Personal care and wellbeing,Emotional wellbeing,3.22,Use coping strategies to self-regulate,3
